sheet,sku,price,Sheet,SKU,Preço,_merge,price_diff
CERIMÓNIA,HOLOGRAMME,16.0,VISEIRAS,HOLOGRAMME,2.0,both,14.0
CERIMÓNIA,HOLOGRAMME,16.0,COWBOY,HOLOGRAMME,8.0,both,8.0
CERIMÓNIA,HOLOGRAMME,17.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-48.0
CERIMÓNIA,HOLOGRAMME,17.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,5.0
CERIMÓNIA,HOLOGRAMME,17.0,VISEIRAS,HOLOGRAMME,2.0,both,15.0
CERIMÓNIA,HOLOGRAMME,17.0,COWBOY,HOLOGRAMME,8.0,both,9.0
CERIMÓNIA,HOLOGRAMME,18.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-47.0
CERIMÓNIA,HOLOGRAMME,18.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,6.0
CERIMÓNIA,HOLOGRAMME,18.0,VISEIRAS,HOLOGRAMME,2.0,both,16.0
CERIMÓNIA,HOLOGRAMME,18.0,COWBOY,HOLOGRAMME,8.0,both,10.0
CERIMÓNIA,HOLOGRAMME,19.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-46.0
CERIMÓNIA,HOLOGRAMME,19.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,7.0
CERIMÓNIA,HOLOGRAMME,19.0,VISEIRAS,HOLOGRAMME,2.0,both,17.0
CERIMÓNIA,HOLOGRAMME,19.0,COWBOY,HOLOGRAMME,8.0,both,11.0
CERIMÓNIA,HOLOGRAMME,20.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-45.0
CERIMÓNIA,HOLOGRAMME,20.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,8.0
CERIMÓNIA,HOLOGRAMME,20.0,VISEIRAS,HOLOGRAMME,2.0,both,18.0
CERIMÓNIA,HOLOGRAMME,20.0,COWBOY,HOLOGRAMME,8.0,both,12.0
PANAMÁ,HOLOGRAMME,3.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-62.0
PANAMÁ,HOLOGRAMME,3.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-9.0
PANAMÁ,HOLOGRAMME,3.0,VISEIRAS,HOLOGRAMME,2.0,both,1.0
PANAMÁ,HOLOGRAMME,3.0,COWBOY,HOLOGRAMME,8.0,both,-5.0
PANAMÁ,HOLOGRAMME,4.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-61.0
PANAMÁ,HOLOGRAMME,4.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-8.0
PANAMÁ,HOLOGRAMME,4.0,VISEIRAS,HOLOGRAMME,2.0,both,2.0
PANAMÁ,HOLOGRAMME,4.0,COWBOY,HOLOGRAMME,8.0,both,-4.0
BONÉS,HOLOGRAMME,2.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-63.0
BONÉS,HOLOGRAMME,2.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-10.0
BONÉS,HOLOGRAMME,2.0,COWBOY,HOLOGRAMME,8.0,both,-6.0
BONÉS,HOLOGRAMME,3.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-62.0
BONÉS,HOLOGRAMME,3.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-9.0
BONÉS,HOLOGRAMME,3.0,VISEIRAS,HOLOGRAMME,2.0,both,1.0
BONÉS,HOLOGRAMME,3.0,COWBOY,HOLOGRAMME,8.0,both,-5.0
BONÉS,HOLOGRAMME,4.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-61.0
BONÉS,HOLOGRAMME,4.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-8.0
BONÉS,HOLOGRAMME,4.0,VISEIRAS,HOLOGRAMME,2.0,both,2.0
BONÉS,HOLOGRAMME,4.0,COWBOY,HOLOGRAMME,8.0,both,-4.0
