sku,nome,categoria,price,priority,has_short_desc,has_long_desc,has_specs,has_tags,has_composition,completeness_score,gaps,supplier_url,can_auto_scrape
Bob – 2018121,BUCKT HAT ALGODÃO,CHAPÉUS EM TECIDO,€14.90,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/bob-2018121/,YES
Bob – 2018120,CHAPÉU SAFARI,CHAPÉUS EM TECIDO,€19.90,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/bob-2018120/,YES
bucket-hat-reversivel,BUCKET HAT REVERSIVEL,CHAPÉUS EM TECIDO,€19.90,LOW,NO,NO,YES,YES,YES,3/5,"short_desc, long_desc",,NO
HOLOGRAMME,VISEIRA  FEMININA,COWBOY,€8.00,LOW,YES,YES,YES,YES,YES,5/5,,https://hologrammeparis.com/product/casquette-18474ol/,YES
"Boné – 12614
Boné – 15112",BONÉS CUBANOS,BONÉS,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-12614/,YES
Boné – 12694,BONÉS CUBANOS,BONÉS,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-12694/,YES
Boné – 12849,BONÉS CUBANOS,BONÉS,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-12849/,YES
Boné – 15165,BONÉS CUBANOS,BONÉS,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-15165/,YES
Boné – 15116,BONÉS CUBANOS,BONÉS,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-15116/,YES
Boné Veludo – 22138 (ou 2019110),BONÉS TRUCKER,BONÉS,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-2019110/?attribute_pa_couleur=noir,YES
Boné – 22134,BONÉS TRUCKER,BONÉS,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-2015022/,YES
Boné – 22134,BONÉS TRUCKER,BONÉS,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-2015022/,YES
Boné – 15263,BONÉS TRUCKER,BONÉS,€12.90,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/fr/product/casquette-15263/,YES
chapeu-cowboy,CHAPÉU COWBOY,COWBOY,€2.00,LOW,NO,NO,YES,YES,NO,2/5,"short_desc, long_desc, composition",,NO
chapeu-cowboy,CHAPÉU COWBOY,COWBOY,€2.00,LOW,NO,NO,YES,YES,NO,2/5,"short_desc, long_desc, composition",,NO
Boné – 15125,CHAPÉU COWBOY,COWBOY,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-12849/,YES
Boné – 15114,,COWBOY,€0.00,LOW,NO,YES,YES,NO,YES,3/5,"short_desc, tags",https://hologrammeparis.com/product/casquette-15114/,YES
"Gorro – Miki 12601
Gorro – 640182503",,COWBOY,€0.00,LOW,NO,YES,YES,NO,YES,3/5,"short_desc, tags",https://hologrammeparis.com/product/bonnet-miki-12601/?attribute_pa_couleur=beige-fonce,YES
Algodão 4974,,COWBOY,€0.00,LOW,NO,YES,YES,NO,YES,3/5,"short_desc, tags",https://hologrammeparis.com/product/bonnet-4974/,YES
Boné – 18110EC,,COWBOY,€0.00,LOW,NO,YES,YES,NO,YES,3/5,"short_desc, tags",https://hologrammeparis.com/product/casquette-18110ec/,YES
HOLOGRAMME,VISEIRA  FEMININA,COWBOY,€8.00,LOW,YES,YES,YES,YES,YES,5/5,,https://hologrammeparis.com/product/casquette-18474ol/,YES
